"lng","lat","name","type","area_km2"
-0.957083988559074,51.4270137665012,NA,"Other Sports Facility",0.105893157886511
-0.953197312716109,51.4777067198175,"Caversham Park","Public Park Or Garden",0.158229643122427
-0.967459691326327,51.4632732383436,"Christchurch Meadows","Playing Field",0.111068520601848
-0.983737687176237,51.465239315146,"Rivermead Leisure Centre","Other Sports Facility",0.197960666665429
-0.949491437384668,51.5140551948207,"Crowsley Park","Public Park Or Garden",0.900447039301245
-1.02456650186884,51.4635865737823,"McIlroy Park","Public Park Or Garden",0.127449219807213
-1.03408636365344,51.4663389619455,"Arthur Newbery Park","Public Park Or Garden",0.102186610842721
-0.993651210731371,51.4749578324667,"Mapledurham Playing Fields","Playing Field",0.112880858282583
-1.05578434811063,51.4429974473486,NA,"Playing Field",0.101605094889263
-1.00783478326167,51.448182140017,"Prospect Park","Public Park Or Garden",0.477138362369832
